dates,views
2016-04-15,16607812.0
2016-04-16,17183260.0
2016-04-17,17533692.0
2016-04-18,20146900.0
2016-04-19,18546540.0
2016-04-20,17679780.0
2016-04-21,15695601.0
2016-04-22,15575135.0
2016-04-23,16668345.0
2016-04-24,17780974.0
2016-04-25,20181132.0
2016-04-26,17808242.0
2016-04-27,17623988.0
2016-04-28,17918962.0
2016-04-29,16022991.0
2016-04-30,17187068.0
2016-05-01,18196420.0
2016-05-02,19709578.0
2016-05-03,19145762.0
2016-05-04,18694402.0
2016-05-05,16769543.0
2016-05-06,16408249.0
2016-05-07,17230836.0
2016-05-08,17879664.0
2016-05-09,19255988.0
2016-05-10,18923790.0
2016-05-11,18153008.0
2016-05-12,18433840.0
2016-05-13,16814146.0
2016-05-14,18159420.0
2016-05-15,19180692.0
2016-05-16,21098266.0
2016-05-17,18961184.0
2016-05-18,17964588.0
2016-05-19,17644336.0
2016-05-20,16155338.0
2016-05-21,17892896.0
2016-05-22,15627834.0
2016-05-23,19552324.0
2016-05-24,18482388.0
2016-05-25,18780656.0
2016-05-26,17895276.0
2016-05-27,16353584.0
2016-05-28,18103228.0
2016-05-29,18999904.0
2016-05-30,19554348.0
2016-05-31,19027320.0
2016-06-01,18728546.0
2016-06-02,17306984.0
2016-06-03,15919989.0
2016-06-04,15622374.0
2016-06-05,18882726.0
2016-06-06,21889972.0
2016-06-07,19095396.0
2016-06-08,20112444.0
2016-06-09,18967636.0
2016-06-10,17794192.0
2016-06-11,20298088.0
2016-06-12,21558268.0
2016-06-13,22985454.0
2016-06-14,21595792.0
2016-06-15,19535468.0
2016-06-16,18199528.0
2016-06-17,16321831.0
2016-06-18,18408932.0
2016-06-19,19029792.0
2016-06-20,20929192.0
2016-06-21,19773620.0
2016-06-22,19879846.0
2016-06-23,19587008.0
2016-06-24,17865704.0
2016-06-25,19308710.0
2016-06-26,20247956.0
2016-06-27,18666240.0
2016-06-28,20016296.0
2016-06-29,19576628.0
2016-06-30,23209384.0
2016-07-01,17242886.0
2016-07-02,20218116.0
2016-07-03,20830774.0
2016-07-04,21616664.0
2016-07-05,18720588.0
2016-07-06,14506067.0
2016-07-07,14876774.0
2016-07-08,16096936.0
2016-07-09,18411008.0
2016-07-10,20355378.0
2016-07-11,21422204.0
2016-07-12,20018252.0
2016-07-13,19217592.0
2016-07-14,19210468.0
2016-07-15,17863040.0
2016-07-16,20206352.0
2016-07-17,20715838.0
2016-07-18,22105018.0
2016-07-19,20950176.0
2016-07-20,34139540.0
2016-07-21,51192572.0
2016-07-22,58450680.0
2016-07-23,59338670.0
2016-07-24,62089436.0
2016-07-25,67122900.0
2016-07-26,67264260.0
2016-07-27,65155636.0
2016-07-28,64355900.0
2016-07-29,60733892.0
2016-07-30,59061776.0
2016-07-31,62260676.0
2016-08-01,66131224.0
2016-08-02,63079604.0
2016-08-03,52793256.0
2016-08-04,45585810.0
2016-08-05,47458564.0
2016-08-06,51192160.0
2016-08-07,53413868.0
2016-08-08,59079240.0
2016-08-09,58810004.0
2016-08-10,60968724.0
2016-08-11,60391420.0
2016-08-12,59046676.0
2016-08-13,59629636.0
2016-08-14,59620572.0
2016-08-15,63052816.0
2016-08-16,56513868.0
2016-08-17,24932384.0
2016-08-18,22303320.0
2016-08-19,20308032.0
2016-08-20,23250488.0
2016-08-21,23952556.0
2016-08-22,25941328.0
2016-08-23,25349272.0
2016-08-24,24113372.0
2016-08-25,22247584.0
2016-08-26,20790822.0
2016-08-27,25423848.0
2016-08-28,26540024.0
2016-08-29,29344276.0
2016-08-30,31103316.0
2016-08-31,31204892.0
2016-09-01,31715068.0
2016-09-02,29376870.0
2016-09-03,32371672.0
2016-09-04,31659790.0
2016-09-05,28860528.0
2016-09-06,27950040.0
2016-09-07,24715632.0
2016-09-08,22949888.0
2016-09-09,20747572.0
2016-09-10,23225672.0
2016-09-11,23606134.0
2016-09-12,21112560.0
2016-09-13,24110200.0
2016-09-14,27325638.0
2016-09-15,27961548.0
2016-09-16,21484410.0
2016-09-17,24608552.0
2016-09-18,24435184.0
2016-09-19,25876370.0
2016-09-20,21122308.0
2016-09-21,23382976.0
2016-09-22,22831828.0
2016-09-23,20510384.0
2016-09-24,23020464.0
2016-09-25,23806156.0
2016-09-26,24712372.0
2016-09-27,25200808.0
2016-09-28,24108358.0
2016-09-29,22857500.0
2016-09-30,20989604.0
2016-10-01,24142502.0
2016-10-02,23884450.0
2016-10-03,26068490.0
2016-10-04,26381746.0
2016-10-05,32100228.0
2016-10-06,33446984.0
2016-10-07,20846488.0
2016-10-08,23045860.0
2016-10-09,23950608.0
2016-10-10,24911168.0
2016-10-11,19697280.0
2016-10-12,17717892.0
2016-10-13,21412288.0
2016-10-14,21272904.0
2016-10-15,24250216.0
2016-10-16,24592486.0
2016-10-17,26989956.0
2016-10-18,25225794.0
2016-10-19,23660638.0
2016-10-20,22116420.0
2016-10-21,20252516.0
2016-10-22,23402388.0
2016-10-23,23619376.0
2016-10-24,25393680.0
2016-10-25,24275860.0
2016-10-26,23480660.0
2016-10-27,22307288.0
2016-10-28,19895676.0
2016-10-29,22612236.0
2016-10-30,22989276.0
2016-10-31,25227036.0
2016-11-01,24032882.0
2016-11-02,23741704.0
2016-11-03,22673494.0
2016-11-04,20863840.0
2016-11-05,22975452.0
2016-11-06,23323520.0
2016-11-07,25021478.0
2016-11-08,24600978.0
2016-11-09,25299804.0
2016-11-10,24222062.0
2016-11-11,20815452.0
2016-11-12,23478692.0
2016-11-13,24367856.0
2016-11-14,25562156.0
2016-11-15,24232960.0
2016-11-16,24032892.0
2016-11-17,22337988.0
2016-11-18,20330716.0
2016-11-19,22768824.0
2016-11-20,20381244.0
2016-11-21,24418216.0
2016-11-22,23945550.0
2016-11-23,22702624.0
2016-11-24,21129614.0
2016-11-25,20059136.0
2016-11-26,22898094.0
2016-11-27,22245104.0
2016-11-28,21392792.0
2016-11-29,22782984.0
2016-11-30,20294284.0
2016-12-01,21174392.0
2016-12-02,19551058.0
2016-12-03,22703752.0
2016-12-04,22657556.0
2016-12-05,25201284.0
2016-12-06,23745160.0
2016-12-07,22923016.0
2016-12-08,21902048.0
2016-12-09,19534308.0
2016-12-10,22855008.0
2016-12-11,22928844.0
2016-12-12,24765200.0
2016-12-13,23661288.0
2016-12-14,22659908.0
2016-12-15,20834184.0
2016-12-16,19653624.0
2016-12-17,18573504.0
2016-12-18,22423820.0
2016-12-19,25067236.0
2016-12-20,25044262.0
2016-12-21,26283836.0
2016-12-22,24201080.0
2016-12-23,22539246.0
2016-12-24,25056620.0
2016-12-25,25865746.0
2016-12-26,28342884.0
2016-12-27,26916992.0
2016-12-28,27025052.0
2016-12-29,26073820.0
2016-12-30,24363968.0
2016-12-31,26149540.0
